,Full Relative Path,Year,File Name,Song Name,File Lengths
0,Lyrics\2004\All Falls Down.txt,2004,All Falls Down.txt,All Falls Down,2681
1,Lyrics\2004\Breathe In Breathe Out.txt,2004,Breathe In Breathe Out.txt,Breathe In Breathe Out,3418
2,Lyrics\2004\Family Business.txt,2004,Family Business.txt,Family Business,3368
3,Lyrics\2004\Get Em High.txt,2004,Get Em High.txt,Get Em High,4690
4,Lyrics\2004\Graduation Day.txt,2004,Graduation Day.txt,Graduation Day,1021
5,Lyrics\2004\I'll Fly Away.txt,2004,I'll Fly Away.txt,I'll Fly Away,196
6,Lyrics\2004\Intro.txt,2004,Intro.txt,Intro,342
7,Lyrics\2004\Jesus Walks.txt,2004,Jesus Walks.txt,Jesus Walks,2803
8,Lyrics\2004\Last Call.txt,2004,Last Call.txt,Last Call,3248
9,Lyrics\2004\Lil Jimmy Skit.txt,2004,Lil Jimmy Skit.txt,Lil Jimmy Skit,684
10,Lyrics\2004\Never Let Me Down.txt,2004,Never Let Me Down.txt,Never Let Me Down,5093
11,Lyrics\2004\School Spirit Skit 1.txt,2004,School Spirit Skit 1.txt,School Spirit Skit 1,1334
12,Lyrics\2004\School Spirit Skit 2.txt,2004,School Spirit Skit 2.txt,School Spirit Skit 2,794
13,Lyrics\2004\School Spirit.txt,2004,School Spirit.txt,School Spirit,2073
14,Lyrics\2004\Slow Jamz.txt,2004,Slow Jamz.txt,Slow Jamz,4029
15,Lyrics\2004\Spaceship.txt,2004,Spaceship.txt,Spaceship,3874
16,Lyrics\2004\The New Workout Plan.txt,2004,The New Workout Plan.txt,The New Workout Plan,2024
17,Lyrics\2004\Through The Wire.txt,2004,Through The Wire.txt,Through The Wire,2009
18,Lyrics\2004\Two Words.txt,2004,Two Words.txt,Two Words,3305
19,Lyrics\2004\We Don't Care.txt,2004,We Don't Care.txt,We Don't Care,3224
20,Lyrics\2004\Workout Plan.txt,2004,Workout Plan.txt,Workout Plan,802
21,Lyrics\2005\Addiction.txt,2005,Addiction.txt,Addiction,2324
22,Lyrics\2005\Bittersweet.txt,2005,Bittersweet.txt,Bittersweet,3002
23,Lyrics\2005\Bring Me Down.txt,2005,Bring Me Down.txt,Bring Me Down,1804
24,Lyrics\2005\Celebration.txt,2005,Celebration.txt,Celebration,1599
25,Lyrics\2005\Crack Music.txt,2005,Crack Music.txt,Crack Music,2437
26,Lyrics\2005\Diamonds From Sierra Leone.txt,2005,Diamonds From Sierra Leone.txt,Diamonds From Sierra Leone,3658
27,Lyrics\2005\Drive Slow.txt,2005,Drive Slow.txt,Drive Slow,3571
28,Lyrics\2005\Gold Digger.txt,2005,Gold Digger.txt,Gold Digger,3082
29,Lyrics\2005\Gone.txt,2005,Gone.txt,Gone,4769
30,Lyrics\2005\Heard 'em Say.txt,2005,Heard 'em Say.txt,Heard 'em Say,1914
31,Lyrics\2005\Roses.txt,2005,Roses.txt,Roses,2561
32,Lyrics\2005\Skit #1.txt,2005,Skit #1.txt,Skit #1,486
33,Lyrics\2005\Skit #2.txt,2005,Skit #2.txt,Skit #2,471
34,Lyrics\2005\Skit #3.txt,2005,Skit #3.txt,Skit #3,402
35,Lyrics\2005\Touch The Sky.txt,2005,Touch The Sky.txt,Touch The Sky,3133
36,Lyrics\2005\Whole Life.txt,2005,Whole Life.txt,Whole Life,1324
37,Lyrics\2006\Dilated People.txt,2006,Dilated People.txt,Dilated People,3208
38,Lyrics\2006\Gangsta Wannabe.txt,2006,Gangsta Wannabe.txt,Gangsta Wannabe,2057
39,Lyrics\2006\Hey Mama.txt,2006,Hey Mama.txt,Hey Mama,3369
40,Lyrics\2006\Impossible.txt,2006,Impossible.txt,Impossible,3070
41,Lyrics\2006\Late.txt,2006,Late.txt,Late,2334
42,Lyrics\2006\We Can Make It Better (album Version) (explicit).txt,2006,We Can Make It Better (album Version) (explicit).txt,We Can Make It Better (album Version) (explicit),459
43,Lyrics\2006\We Major.txt,2006,We Major.txt,We Major,3713
44,Lyrics\2007\2 Words.txt,2007,2 Words.txt,2 Words,3222
45,Lyrics\2007\Apologize.txt,2007,Apologize.txt,Apologize,2590
46,Lyrics\2007\Arguments.txt,2007,Arguments.txt,Arguments,3537
47,Lyrics\2007\Ay Ay Ay.txt,2007,Ay Ay Ay.txt,Ay Ay Ay,3085
48,Lyrics\2007\Barry Bond.txt,2007,Barry Bond.txt,Barry Bond,2442
49,Lyrics\2007\Better Than Yours.txt,2007,Better Than Yours.txt,Better Than Yours,2766
50,Lyrics\2007\Big Brother.txt,2007,Big Brother.txt,Big Brother,3787
51,Lyrics\2007\Can't Tell Me Nothing.txt,2007,Can't Tell Me Nothing.txt,Can't Tell Me Nothing,2650
52,Lyrics\2007\Champion.txt,2007,Champion.txt,Champion,2602
53,Lyrics\2007\Classic.txt,2007,Classic.txt,Classic,3384
54,Lyrics\2007\CRS.txt,2007,CRS.txt,CRS,2750
55,Lyrics\2007\Doing Fine.txt,2007,Doing Fine.txt,Doing Fine,2201
56,Lyrics\2007\DreamKillers.txt,2007,DreamKillers.txt,DreamKillers,3170
57,Lyrics\2007\Dreams Of Fin Lil' Kim.txt,2007,Dreams Of Fin Lil' Kim.txt,Dreams Of Fin Lil' Kim,2279
58,Lyrics\2007\Drunk Hot Girls.txt,2007,Drunk Hot Girls.txt,Drunk Hot Girls,2040
59,Lyrics\2007\Electric Relaxation 2003.txt,2007,Electric Relaxation 2003.txt,Electric Relaxation 2003,3595
60,Lyrics\2007\Everything I Got.txt,2007,Everything I Got.txt,Everything I Got,2430
61,Lyrics\2007\Excuse Me Miss Again (Remix).txt,2007,Excuse Me Miss Again (Remix).txt,Excuse Me Miss Again (Remix),3505
62,Lyrics\2007\Extravaganza.txt,2007,Extravaganza.txt,Extravaganza,2042
63,Lyrics\2007\Flashing Lights.txt,2007,Flashing Lights.txt,Flashing Lights,1825
64,Lyrics\2007\Freestyle.txt,2007,Freestyle.txt,Freestyle,1298
65,Lyrics\2007\Get By (Remix).txt,2007,Get By (Remix).txt,Get By (Remix),5773
66,Lyrics\2007\Girls (remix).txt,2007,Girls (remix).txt,Girls (remix),2795
67,Lyrics\2007\Good Life.txt,2007,Good Life.txt,Good Life,2717
68,Lyrics\2007\Good Morning.txt,2007,Good Morning.txt,Good Morning,1558
69,Lyrics\2007\Good Night.txt,2007,Good Night.txt,Good Night,1965
70,Lyrics\2007\Heavy Hitters.txt,2007,Heavy Hitters.txt,Heavy Hitters,1449
71,Lyrics\2007\Here We Go Again.txt,2007,Here We Go Again.txt,Here We Go Again,2510
72,Lyrics\2007\Home.txt,2007,Home.txt,Home,2616
73,Lyrics\2007\Homecoming.txt,2007,Homecoming.txt,Homecoming,2346
74,Lyrics\2007\Hope (Remix).txt,2007,Hope (Remix).txt,Hope (Remix),1086
75,Lyrics\2007\I Need 2 Know.txt,2007,I Need 2 Know.txt,I Need 2 Know,2356
76,Lyrics\2007\I Wonder.txt,2007,I Wonder.txt,I Wonder,1562
77,Lyrics\2007\Improvise.txt,2007,Improvise.txt,Improvise,2500
